"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A02838g","glabrata","CAGL0A02838g","CAGL0","original","","N1.HOG0004451","OG0004215"
"CAGL0A02860g","glabrata","CAGL0A02860g","CAGL0","original","","N1.HOG0004184","OG0003947"
"CAGL0A02882g","glabrata","CAGL0A02882g","CAGL0","original","","N1.HOG0003736","OG0003497"
"CAGL0A02904g","glabrata","CAGL0A02904g","CAGL0","original","","N1.HOG0002248","OG0002008"
"CAGL0A02926g","glabrata","CAGL0A02926g","CAGL0","original","","N1.HOG0001331","OG0001090"
"CAGL0A02948g","glabrata","CAGL0A02948g","CAGL0","original","","N1.HOG0001375","OG0001135"
"CAGL0A02970g","glabrata","CAGL0A02970g","CAGL0","original","","N1.HOG0001651","OG0001411"
"CAGL0A02981g","glabrata","CAGL0A02981g","CAGL0","original","",,
"CAGL0A02992g","glabrata","CAGL0A02992g","CAGL0","original","","N1.HOG0002045","OG0001805"
"CAGL0A03014g","glabrata","CAGL0A03014g","CAGL0","original","","N1.HOG0001796","OG0001556"
"CAGL0A03036g","glabrata","CAGL0A03036g","CAGL0","original","","N1.HOG0003114","OG0002874"
"CAGL0A03051g","glabrata","CAGL0A03051g","CAGL0","original","","N1.HOG0003987","OG0003748"
"CAGL0A03058g","glabrata","CAGL0A03058g","CAGL0","original","","N1.HOG0000569","OG0000350"
"CAGL0A03080g","glabrata","CAGL0A03080g","CAGL0","original","","N1.HOG0004159","OG0003922"
"CAGL0A03102g","glabrata","CAGL0A03102g","CAGL0","original","ARO10","N1.HOG0001289","OG0001048"
"CAGL0A03117g","glabrata","CAGL0A03117g","CAGL0","original","","N1.HOG0001166","OG0000927"
"CAGL0A03146g","glabrata","CAGL0A03146g","CAGL0","original","","N1.HOG0004305","OG0004068"
"CAGL0A03168g","glabrata","CAGL0A03168g","CAGL0","original","","N1.HOG0000502","OG0000295"
"CAGL0A03190g","glabrata","CAGL0A03190g","CAGL0","original","","N1.HOG0004452","OG0004216"
