Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048237.1-58,9,1096
CP048237.1-59,4,1196
CP048237.1-60,41,362
CP048237.1-61,49,283
CP048237.1-62,25,651
CP048237.1-63,20,797
CP048237.1-64,51,255
CP048237.1-65,36,441
CP048237.1-66,27,600
CP048237.1-67,27,601
CP048237.1-68,23,714
CP048237.1-69,24,677
CP048237.1-70,22,739
CP048237.1-71,23,715
CP048237.1-72,6,1165
CP048237.1-73,82,90
CP048237.1-74,37,426
CP048237.1-75,46,306
CP048237.1-76,16,909
CP048237.1-77,16,910
CP048237.1-78,34,472
CP048237.1-79,24,678
CP048237.1-80,28,581
CP048237.1-81,60,186
CP048237.1-82,74,118
CP048237.1-83,57,210
CP048237.1-84,21,766
CP048237.1-85,57,211
CP048237.1-86,59,193
CP048237.1-87,63,169
CP048237.1-88,57,212
CP048237.1-89,30,535
CP048237.1-90,41,363
CP048237.1-91,141,20
CP048237.1-92,62,175
CP048237.1-93,21,767
CP048237.1-94,43,340
CP048237.1-95,154,15
CP048237.1-96,55,225
CP048237.1-97,275,1
CP048237.1-98,121,38
CP048237.1-99,206,3
CP048237.1-100,43,341
CP048237.1-101,27,602
CP048237.1-102,38,412
CP048237.1-103,25,652
CP048237.1-104,46,307
CP048237.1-105,19,822
CP048238.1-0,5,1178
CP048238.1-1,0,1253
CP048238.1-2,41,364
CP048238.1-3,21,768
CP048238.1-4,67,141
CP048238.1-5,21,769
CP048238.1-6,66,145
CP048238.1-7,40,383
CP048238.1-8,41,365
CP048238.1-9,17,872
CP048238.1-10,21,770
CP048238.1-11,46,308
CP048238.1-12,35,452
CP048238.1-13,34,473
CP048238.1-14,19,823
CP048238.1-15,62,176
CP048238.1-16,32,506
CP048238.1-17,80,94
CP048238.1-18,37,427
CP048238.1-19,54,233
CP048238.1-20,25,653
CP048238.1-21,13,990
CP048238.1-22,24,679
CP048238.1-23,11,1046
CP048238.1-24,16,911
CP048238.1-25,39,397
CP048238.1-26,24,680
CP048238.1-27,71,129
CP048238.1-28,59,194
CP048238.1-29,71,130
CP048238.1-30,9,1097
CP048238.1-31,64,160
CP048238.1-32,62,177
CP048238.1-33,44,325
CP048238.1-34,18,839
CP048238.1-35,93,64
CP048238.1-36,74,119
CP048238.1-37,65,156
CP048238.1-38,36,442
CP048238.1-39,155,14
CP048238.1-40,154,16
CP048238.1-41,26,624
CP048238.1-42,29,559
CP048238.1-43,55,226
CP048238.1-44,192,6
CP048238.1-45,50,266
CP048238.1-46,7,1142
CP048238.1-47,45,313
CP048238.1-48,57,213
CP048238.1-49,30,536
CP048238.1-50,22,740
CP048238.1-51,48,291
CP048238.1-52,22,741
CP048238.1-53,47,297
CP048238.1-54,52,246
CP048238.1-55,52,247
CP048238.1-56,41,366
CP048238.1-57,54,234
CP048238.1-58,0,1254
CP048238.1-59,21,771
CP048238.1-60,44,326
CP048238.1-61,0,1255
CP048238.1-62,5,1179
CP048238.1-63,7,1143
CP048238.1-64,7,1144
CP048238.1-65,5,1180
CP048238.1-66,12,1019
CP048238.1-67,28,582
CP048238.1-68,64,161
CP048238.1-69,19,824
