Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_B01859,GWK60_B01859,ORF,2
GWK60_B01881,GWK60_B01881,ORF,1
GWK60_B01903,GWK60_B01903,ORF,1
GWK60_B01925,GWK60_B01925,ORF,3
GWK60_B01947,GWK60_B01947,ORF,0
GWK60_B01969,GWK60_B01969,ORF,0
GWK60_B01991,GWK60_B01991,ORF,1
GWK60_B02013,GWK60_B02013,ORF,0
GWK60_B02035,GWK60_B02035,ORF,0
GWK60_B02057,CCH1,ORF,1
GWK60_B02079,GWK60_B02079,ORF,0
GWK60_B02101,GWK60_B02101,ORF,0
GWK60_B02123,GWK60_B02123,ORF,0
GWK60_B02145,GWK60_B02145,ORF,3
GWK60_B02167,GWK60_B02167,ORF,6
GWK60_B02189,GWK60_B02189,ORF,5
GWK60_B02211,GWK60_B02211,ORF,2
GWK60_B02233,GWK60_B02233,ORF,2
GWK60_B02255,GWK60_B02255,ORF,3
GWK60_B02277,GWK60_B02277,ORF,6
GWK60_B02299,GWK60_B02299,ORF,0
GWK60_B02321,PHO84,ORF,20
GWK60_B02343,GWK60_B02343,ORF,0
GWK60_B02365,GWK60_B02365,ORF,0
GWK60_B02387,GWK60_B02387,ORF,1
GWK60_B02409,GIN3,ORF,6
GWK60_B02431,GWK60_B02431,ORF,7
GWK60_B02453,HEM1,ORF,0
GWK60_B02475,GWK60_B02475,ORF,8
GWK60_B02497,GWK60_B02497,ORF,4
GWK60_B02519,GWK60_B02519,ORF,0
GWK60_B02541,GWK60_B02541,ORF,0
GWK60_B02563,GWK60_B02563,ORF,0
GWK60_B02585,STE11,ORF,5
GWK60_B02607,GWK60_B02607,ORF,1
GWK60_B02629,GWK60_B02629,ORF,5
GWK60_B02651,VPS38,ORF,3
GWK60_B02673,GWK60_B02673,ORF,0
GWK60_B02695,GWK60_B02695,ORF,0
GWK60_B02717,MUP1,ORF,24
GWK60_B02739,GWK60_B02739,ORF,3
GWK60_B02761,BMT2,ORF,5
GWK60_B02783,BMT6,ORF,26
GWK60_B02805,BMT3,ORF,5
GWK60_B02827,BMT4,ORF,28
GWK60_B02849,BMT5,ORF,3
GWK60_B02871,GWK60_B02871,ORF,24
GWK60_B02893,ILV5,ORF,0
GWK60_B02915,TAL1,ORF,7
GWK60_B02937,GWK60_B02937,ORF,5
GWK60_B02959,GWK60_B02959,ORF,2
GWK60_B03003,GWK60_B03003,ORF,4
GWK60_B03025,GWK60_B03025,ORF,1
GWK60_B03047,GWK60_B03047,ORF,0
GWK60_B03069,GWK60_B03069,ORF,0
GWK60_B03091,GWK60_B03091,ORF,2
GWK60_B03113,GWK60_B03113,ORF,3
GWK60_B03135,GWK60_B03135,ORF,7
GWK60_B03157,GWK60_B03157,ORF,2
GWK60_B03179,GWK60_B03179,ORF,0
GWK60_B03201,GWK60_B03201,ORF,5
GWK60_B03223,RIF1,ORF,9
GWK60_B03245,GWK60_B03245,ORF,20
GWK60_B03267,GWK60_B03267,ORF,4
GWK60_B03289,GWK60_B03289,ORF,1
GWK60_B03311,TEF3,ORF,1
GWK60_B03333,GWK60_B03333,ORF,17
GWK60_B03355,GWK60_B03355,ORF,36
GWK60_B03377,GWK60_B03377,ORF,0
GWK60_B03399,GWK60_B03399,ORF,3
GWK60_B03421,GWK60_B03421,ORF,0
GWK60_B03443,GWK60_B03443,ORF,6
GWK60_B03465,GWK60_B03465,ORF,7
GWK60_B03487,GWK60_B03487,ORF,1
GWK60_B03509,GWK60_B03509,ORF,25
GWK60_B03531,GWK60_B03531,ORF,34
GWK60_B03553,GWK60_B03553,ORF,0
GWK60_B03597,GWK60_B03597,ORF,0
GWK60_B03619,GWK60_B03619,ORF,0
GWK60_B03641,GWK60_B03641,ORF,59
GWK60_B03663,MET3,ORF,36
GWK60_B03685,GWK60_B03685,ORF,2
GWK60_B03707,GWK60_B03707,ORF,7
GWK60_B03729,GWK60_B03729,ORF,7
GWK60_B03751,GWK60_B03751,ORF,0
GWK60_B03773,GWK60_B03773,ORF,3
GWK60_B03795,GWK60_B03795,ORF,2
GWK60_B03817,GWK60_B03817,ORF,5
GWK60_B03839,GWK60_B03839,ORF,8
GWK60_B03861,GWK60_B03861,ORF,0
GWK60_B03883,GWK60_B03883,ORF,7
GWK60_B03905,GWK60_B03905,ORF,0
GWK60_B03927,GWK60_B03927,ORF,2
GWK60_B03971,GWK60_B03971,ORF,10
GWK60_B03993,GWK60_B03993,ORF,0
GWK60_B04015,GWK60_B04015,ORF,2
GWK60_B04037,GWK60_B04037,ORF,0
GWK60_B04059,GWK60_B04059,ORF,6
GWK60_B04081,GWK60_B04081,ORF,7
GWK60_B04103,SCP120,ORF,11
GWK60_B04125,GWK60_B04125,ORF,1
GWK60_B04147,GWK60_B04147,ORF,6
GWK60_B04169,GWK60_B04169,ORF,8
GWK60_B04191,GWK60_B04191,ORF,16
GWK60_B04213,GWK60_B04213,ORF,10
GWK60_B04235,GWK60_B04235,ORF,9
GWK60_B04257,CHS3,ORF,15
GWK60_B04279,GWK60_B04279,ORF,6
GWK60_B04301,GWK60_B04301,ORF,2
GWK60_B04323,GWK60_B04323,ORF,21
GWK60_B04345,GWK60_B04345,ORF,13
GWK60_B04367,GWK60_B04367,ORF,0
GWK60_B04389,RAS1,ORF,0
GWK60_B04411,GWK60_B04411,ORF,35
GWK60_B04433,GWK60_B04433,ORF,13
GWK60_B04455,GWK60_B04455,ORF,13
GWK60_B04477,GWK60_B04477,ORF,0
GWK60_B04499,INP53,ORF,20
GWK60_B04521,GWK60_B04521,ORF,21
GWK60_B04543,GWK60_B04543,ORF,17
GWK60_B04565,GWK60_B04565,ORF,13
GWK60_B04587,PGS1,ORF,13
GWK60_B04609,GWK60_B04609,ORF,26
GWK60_B04631,GWK60_B04631,ORF,18
GWK60_B04653,GWK60_B04653,ORF,15
GWK60_B04675,GWK60_B04675,ORF,6
GWK60_B04697,GWK60_B04697,ORF,21
GWK60_B04719,GWK60_B04719,ORF,2
GWK60_B04741,GWK60_B04741,ORF,6
GWK60_B04763,GWK60_B04763,ORF,5
GWK60_B04785,GWK60_B04785,ORF,7
GWK60_B04807,GWK60_B04807,ORF,8
GWK60_B04829,GWK60_B04829,ORF,9
GWK60_B04895,GWK60_B04895,ORF,17
GWK60_B04917,GWK60_B04917,ORF,1
GWK60_C00011,EPA6,ORF,0
GWK60_C00033,AWP7,ORF,0
GWK60_C00055,GWK60_C00055,ORF,2
GWK60_C00077,GWK60_C00077,ORF,3
GWK60_C00099,HSP31,ORF,0
GWK60_C00121,GWK60_C00121,ORF,1
GWK60_C00143,GWK60_C00143,ORF,3
GWK60_C00165,GWK60_C00165,ORF,0
GWK60_C00187,KRE9,ORF,0
GWK60_C00209,GWK60_C00209,ORF,5
GWK60_C00231,GWK60_C00231,ORF,2
GWK60_C00253,GWK60_C00253,ORF,0
GWK60_C00275,GWK60_C00275,ORF,1
GWK60_C00297,GWK60_C00297,ORF,0
GWK60_C00319,GWK60_C00319,ORF,0
GWK60_C00341,GWK60_C00341,ORF,7
GWK60_C00363,GWK60_C00363,ORF,16
GWK60_C00385,GWK60_C00385,ORF,3
GWK60_C00407,GWK60_C00407,ORF,1
GWK60_C00429,GWK60_C00429,ORF,2
GWK60_C00451,ATG14,ORF,1
GWK60_C00473,VMA2,ORF,0
GWK60_C00495,GWK60_C00495,ORF,3
GWK60_C00517,CCC1,ORF,0
GWK60_C00539,GWK60_C00539,ORF,0
GWK60_C00561,GWK60_C00561,ORF,0
GWK60_C00583,GWK60_C00583,ORF,0
GWK60_C00605,GWK60_C00605,ORF,3
GWK60_C00627,GWK60_C00627,ORF,5
GWK60_C00649,GWK60_C00649,ORF,0
GWK60_C00671,EPA8,ORF,3
GWK60_C00693,GWK60_C00693,ORF,26
GWK60_C00715,GWK60_C00715,ORF,3
GWK60_C00737,GWK60_C00737,ORF,0
GWK60_C00759,UPC2A,ORF,5
GWK60_C00781,GWK60_C00781,ORF,0
GWK60_C00803,GWK60_C00803,ORF,0
GWK60_C00825,GLM4,ORF,1
GWK60_C00847,GWK60_C00847,ORF,2
GWK60_C00869,GWK60_C00869,ORF,9
GWK60_C00891,GWK60_C00891,ORF,1
GWK60_C00913,GWK60_C00913,ORF,1
GWK60_C00935,GWK60_C00935,ORF,3
GWK60_C00957,GWK60_C00957,ORF,3
GWK60_C00979,GWK60_C00979,ORF,1
GWK60_C01001,GWK60_C01001,ORF,4
GWK60_C01023,GWK60_C01023,ORF,0
GWK60_C01045,GWK60_C01045,ORF,3
GWK60_C01067,GWK60_C01067,ORF,1
GWK60_C01089,GWK60_C01089,ORF,0
GWK60_C01111,GWK60_C01111,ORF,5
GWK60_C01133,GWK60_C01133,ORF,0
GWK60_C01155,GWK60_C01155,ORF,2
GWK60_C01177,GWK60_C01177,ORF,22
GWK60_C01199,GWK60_C01199,ORF,0
