Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048238.1-29,37,113
CP048238.1-30,4,1042
CP048238.1-31,30,180
CP048238.1-32,25,247
CP048238.1-33,28,207
CP048238.1-34,10,723
CP048238.1-35,44,78
CP048238.1-36,40,96
CP048238.1-37,17,422
CP048238.1-38,11,666
CP048238.1-39,71,25
CP048238.1-40,69,28
CP048238.1-41,12,613
CP048238.1-42,21,315
CP048238.1-43,36,123
CP048238.1-44,85,12
CP048238.1-45,24,260
CP048238.1-46,3,1101
CP048238.1-47,15,490
CP048238.1-48,26,231
CP048238.1-49,11,667
CP048238.1-50,11,668
CP048238.1-51,24,261
CP048238.1-52,12,614
CP048238.1-53,22,304
CP048238.1-54,33,146
CP048238.1-55,30,181
CP048238.1-56,14,521
CP048238.1-57,18,394
CP048238.1-58,0,1236
CP048238.1-59,8,821
CP048238.1-60,14,522
CP048238.1-61,0,1237
CP048238.1-62,1,1192
CP048238.1-63,1,1193
CP048238.1-64,2,1144
CP048238.1-65,0,1238
CP048238.1-66,8,822
CP048238.1-67,11,669
CP048238.1-68,38,110
CP048238.1-69,7,883
CP048238.1-70,27,220
CP048238.1-71,24,262
CP048238.1-72,10,724
CP048238.1-73,12,615
CP048238.1-74,0,1239
CP048238.1-75,3,1102
CP048239.1-0,0,1240
CP048239.1-1,0,1241
CP048239.1-2,5,988
CP048239.1-3,24,263
CP048239.1-4,13,562
CP048239.1-5,32,156
CP048239.1-6,31,172
CP048239.1-7,3,1103
CP048239.1-8,17,423
CP048239.1-9,4,1043
CP048239.1-10,37,114
CP048239.1-11,8,823
CP048239.1-12,12,616
CP048239.1-13,6,946
CP048239.1-14,13,563
CP048239.1-15,43,84
CP048239.1-16,19,362
CP048239.1-17,49,60
CP048239.1-18,44,79
CP048239.1-19,11,670
CP048239.1-20,23,283
CP048239.1-21,17,424
CP048239.1-22,39,105
CP048239.1-23,92,9
CP048239.1-24,63,39
CP048239.1-25,24,264
CP048239.1-26,19,363
CP048239.1-27,45,75
CP048239.1-28,27,221
CP048239.1-29,25,248
CP048239.1-30,33,147
CP048239.1-31,26,232
CP048239.1-32,8,824
CP048239.1-33,15,491
CP048239.1-34,15,492
CP048239.1-35,15,493
CP048239.1-36,12,617
CP048239.1-37,2,1145
CP048239.1-38,16,454
CP048239.1-39,13,564
CP048239.1-40,24,265
CP048239.1-41,22,305
CP048239.1-42,13,565
CP048239.1-43,6,947
CP048239.1-44,16,455
CP048239.1-45,6,948
CP048239.1-46,3,1104
CP048239.1-47,2,1146
CP048239.1-48,7,884
CP048239.1-49,8,825
CP048239.1-50,8,826
CP048239.1-51,6,949
CP048239.1-52,0,1242
CP048239.1-53,4,1044
CP048239.1-54,14,523
CP048239.1-55,13,566
CP048239.1-56,4,1045
CP048239.1-57,3,1105
CP048239.1-58,2,1147
CP048239.1-59,14,524
CP048239.1-60,15,494
CP048239.1-61,10,725
CP048239.1-62,15,495
CP048239.1-63,0,1243
CP048239.1-64,10,726
CP048239.1-65,17,425
CP048239.1-66,4,1046
CP048239.1-67,4,1047
CP048239.1-68,9,779
CP048239.1-69,2,1148
CP048239.1-70,7,885
CP048239.1-71,14,525
CP048239.1-72,19,364
CP048239.1-73,12,618
CP048239.1-74,9,780
CP048239.1-75,4,1048
CP048239.1-76,13,567
CP048239.1-77,10,727
CP048239.1-78,7,886
CP048239.1-79,1,1194
CP048239.1-80,3,1106
CP048239.1-81,7,887
CP048239.1-82,2,1149
CP048239.1-83,0,1244
CP048239.1-84,11,671
CP048239.1-85,1,1195
CP048239.1-86,9,781
CP048239.1-87,12,619
CP048239.1-88,10,728
CP048239.1-89,9,782
CP048239.1-90,10,729
CP048239.1-91,5,989
CP048239.1-92,2,1150
CP048239.1-93,5,990
CP048239.1-94,13,568
CP048239.1-95,22,306
CP048239.1-96,12,620
CP048239.1-97,2,1151
CP048239.1-98,7,888
CP048239.1-99,10,730
CP048239.1-100,7,889
CP048239.1-101,17,426
CP048239.1-102,8,827
CP048239.1-103,9,783
CP048239.1-104,5,991
CP048239.1-105,10,731
CP048239.1-106,3,1107
CP048239.1-107,1,1196
CP048239.1-108,4,1049
CP048239.1-109,1,1197
CP048239.1-110,9,784
CP048239.1-111,10,732
CP048239.1-112,19,365
CP048239.1-113,10,733
CP048239.1-114,7,890
CP048239.1-115,5,992
CP048239.1-116,6,950
CP048239.1-117,12,621
CP048239.1-118,13,569
CP048239.1-119,14,526
CP048239.1-120,3,1108
CP048239.1-121,5,993
CP048239.1-122,1,1198
CP048239.1-123,0,1245
CP048239.1-124,2,1152
CP048240.1-0,1,1199
CP048240.1-1,0,1246
CP048240.1-2,13,570
CP048240.1-3,28,208
CP048240.1-4,15,496
CP048240.1-5,2,1153
CP048240.1-6,18,395
CP048240.1-7,32,157
CP048240.1-8,13,571
CP048240.1-9,11,672
CP048240.1-10,6,951
CP048240.1-11,13,572
CP048240.1-12,7,891
CP048240.1-13,6,952
CP048240.1-14,34,139
CP048240.1-15,15,497
CP048240.1-16,19,366
CP048240.1-17,14,527
CP048240.1-18,27,222
CP048240.1-19,40,97
CP048240.1-20,13,573
CP048240.1-21,19,367
CP048240.1-22,18,396
CP048240.1-23,20,336
CP048240.1-24,50,55
CP048240.1-25,77,18
CP048240.1-26,53,51
CP048240.1-27,82,14
CP048240.1-28,42,88
CP048240.1-29,63,40
CP048240.1-30,23,284
CP048240.1-31,26,233
CP048240.1-32,43,85
CP048240.1-33,14,528
CP048240.1-34,42,89
CP048240.1-35,2,1154
CP048240.1-36,7,892
CP048240.1-37,30,182
CP048240.1-38,26,234
CP048240.1-39,24,266
CP048240.1-40,33,148
CP048240.1-41,15,498
CP048240.1-42,15,499
CP048240.1-43,11,673
CP048240.1-44,13,574
CP048240.1-45,23,285
CP048240.1-46,6,953
CP048240.1-47,12,622
CP048240.1-48,19,368
CP048240.1-49,11,674
CP048240.1-50,12,623
CP048240.1-51,8,828
CP048240.1-52,10,734
CP048240.1-53,10,735
CP048240.1-54,3,1109
CP048240.1-55,4,1050
CP048240.1-56,32,158
CP048240.1-57,21,316
CP048240.1-58,20,337
CP048240.1-59,9,785
CP048240.1-60,12,624
CP048240.1-61,20,338
CP048240.1-62,1,1200
CP048240.1-63,8,829
CP048240.1-64,2,1155
CP048240.1-65,13,575
CP048240.1-66,3,1110
CP048240.1-67,11,675
CP048240.1-68,11,676
CP048240.1-69,8,830
CP048240.1-70,5,994
CP048240.1-71,11,677
CP048240.1-72,30,183
CP048240.1-73,16,456
CP048240.1-74,18,397
CP048240.1-75,3,1111
CP048240.1-76,14,529
CP048240.1-77,23,286
CP048240.1-78,3,1112
CP048240.1-79,4,1051
CP048240.1-80,4,1052
CP048240.1-81,8,831
CP048240.1-82,7,893
CP048240.1-83,0,1247
CP048240.1-84,4,1053
CP048240.1-85,5,995
CP048240.1-86,16,457
CP048240.1-87,18,398
CP048240.1-88,39,106
CP048240.1-89,11,678
CP048240.1-90,0,1248
CP048240.1-91,12,625
CP048240.1-92,5,996
CP048240.1-93,18,399
CP048240.1-94,4,1054
CP048240.1-95,4,1055
CP048240.1-96,2,1156
CP048240.1-97,13,576
CP048240.1-98,8,832
CP048240.1-99,14,530
CP048240.1-100,5,997
CP048240.1-101,5,998
CP048240.1-102,3,1113
CP048240.1-103,8,833
CP048240.1-104,19,369
CP048240.1-105,7,894
CP048240.1-106,19,370
CP048240.1-107,21,317
CP048240.1-108,2,1157
CP048240.1-109,7,895
CP048240.1-110,8,834
CP048240.1-111,16,458
CP048240.1-112,14,531
CP048240.1-113,6,954
CP048240.1-114,3,1114
CP048240.1-115,26,235
CP048240.1-116,8,835
CP048240.1-117,23,287
CP048240.1-118,11,679
CP048240.1-119,11,680
CP048240.1-120,15,500
CP048240.1-121,5,999
CP048240.1-122,7,896
CP048240.1-123,5,1000
CP048240.1-124,8,836
CP048240.1-125,4,1056
CP048240.1-126,41,93
CP048240.1-127,17,427
CP048240.1-128,3,1115
CP048240.1-129,17,428
CP048240.1-130,1,1201
CP048241.1-0,1,1202
CP048241.1-1,2,1158
CP048241.1-2,26,236
CP048241.1-3,14,532
CP048241.1-4,16,459
CP048241.1-5,13,577
CP048241.1-6,4,1057
CP048241.1-7,24,267
CP048241.1-8,4,1058
CP048241.1-9,24,268
CP048241.1-10,10,736
CP048241.1-11,32,159
CP048241.1-12,7,897
CP048241.1-13,4,1059
CP048241.1-14,9,786
CP048241.1-15,14,533
CP048241.1-16,7,898
CP048241.1-17,6,955
CP048241.1-18,35,131
CP048241.1-19,2,1159
CP048241.1-20,0,1249
CP048241.1-21,5,1001
CP048241.1-22,42,90
CP048241.1-23,2,1160
CP048241.1-24,7,899
CP048241.1-25,5,1002
CP048241.1-26,2,1161
CP048241.1-27,8,837
CP048241.1-28,10,737
CP048241.1-29,13,578
CP048241.1-30,3,1116
CP048241.1-31,2,1162
CP048241.1-32,4,1060
CP048241.1-33,10,738
CP048241.1-34,4,1061
CP048241.1-35,27,223
CP048241.1-36,11,681
CP048241.1-37,11,682
CP048241.1-38,13,579
CP048241.1-39,8,838
CP048241.1-40,11,683
CP048241.1-41,3,1117
CP048241.1-42,5,1003
CP048241.1-43,8,839
CP048241.1-44,12,626
CP048241.1-45,14,534
CP048241.1-46,21,318
CP048241.1-47,17,429
CP048241.1-48,8,840
CP048241.1-49,24,269
CP048241.1-50,15,501
CP048241.1-51,10,739
CP048241.1-52,4,1062
CP048241.1-53,1,1203
CP048241.1-54,13,580
CP048241.1-55,12,627
CP048241.1-56,10,740
CP048241.1-57,21,319
CP048241.1-58,12,628
CP048241.1-59,5,1004
CP048241.1-60,8,841
CP048241.1-61,15,502
CP048241.1-62,7,900
CP048241.1-63,10,741
CP048241.1-64,16,460
CP048241.1-65,7,901
CP048241.1-66,19,371
CP048241.1-67,7,902
CP048241.1-68,25,249
CP048241.1-69,26,237
CP048241.1-70,8,842
CP048241.1-71,2,1163
CP048241.1-72,7,903
CP048241.1-73,11,684
CP048241.1-74,16,461
CP048241.1-75,12,629
CP048241.1-76,10,742
CP048241.1-77,7,904
CP048241.1-78,18,400
CP048241.1-79,23,288
CP048241.1-80,1,1204
CP048241.1-81,8,843
CP048241.1-82,5,1005
CP048241.1-83,15,503
CP048241.1-84,20,339
CP048241.1-85,17,430
CP048241.1-86,6,956
CP048241.1-87,9,787
CP048241.1-88,13,581
CP048241.1-89,17,431
CP048241.1-90,13,582
CP048241.1-91,42,91
CP048241.1-92,49,61
