Bin index,yH299-parent-pool4_normalized,yH299-parent-pool4_normalized rank
CP048237.1-94,24,266
CP048237.1-95,78,21
CP048237.1-96,29,191
CP048237.1-97,160,1
CP048237.1-98,72,28
CP048237.1-99,122,3
CP048237.1-100,19,378
CP048237.1-101,11,663
CP048237.1-102,18,411
CP048237.1-103,12,609
CP048237.1-104,13,571
CP048237.1-105,11,664
CP048238.1-0,1,1200
CP048238.1-1,0,1236
CP048238.1-2,6,932
CP048238.1-3,10,712
CP048238.1-4,33,144
CP048238.1-5,10,713
CP048238.1-6,32,157
CP048238.1-7,22,301
CP048238.1-8,15,501
CP048238.1-9,4,1031
CP048238.1-10,11,665
CP048238.1-11,12,610
CP048238.1-12,21,328
CP048238.1-13,15,502
CP048238.1-14,12,611
CP048238.1-15,32,158
CP048238.1-16,21,329
CP048238.1-17,37,108
CP048238.1-18,18,412
CP048238.1-19,22,302
CP048238.1-20,4,1032
CP048238.1-21,1,1201
CP048238.1-22,12,612
CP048238.1-23,4,1033
CP048238.1-24,5,983
CP048238.1-25,24,267
CP048238.1-26,10,714
CP048238.1-27,31,166
CP048238.1-28,16,467
CP048238.1-29,43,78
CP048238.1-30,5,984
CP048238.1-31,27,230
CP048238.1-32,26,244
CP048238.1-33,24,268
CP048238.1-34,10,715
CP048238.1-35,52,58
CP048238.1-36,35,128
CP048238.1-37,22,303
CP048238.1-38,22,304
CP048238.1-39,96,9
CP048238.1-40,79,17
CP048238.1-41,4,1034
CP048238.1-42,13,572
CP048238.1-43,37,109
CP048238.1-44,101,8
CP048238.1-45,34,134
CP048238.1-46,2,1143
CP048238.1-47,21,330
CP048238.1-48,36,119
CP048238.1-49,11,666
CP048238.1-50,8,813
CP048238.1-51,20,354
CP048238.1-52,5,985
CP048238.1-53,18,413
CP048238.1-54,26,245
CP048238.1-55,22,305
CP048238.1-56,23,288
CP048238.1-57,36,120
CP048238.1-58,0,1237
CP048238.1-59,9,771
CP048238.1-60,11,667
CP048238.1-61,0,1238
CP048238.1-62,3,1085
CP048238.1-63,1,1202
CP048238.1-64,5,986
CP048238.1-65,1,1203
CP048238.1-66,11,668
CP048238.1-67,14,534
CP048238.1-68,30,182
CP048238.1-69,11,669
CP048238.1-70,27,231
CP048238.1-71,29,192
CP048238.1-72,11,670
CP048238.1-73,17,443
CP048238.1-74,0,1239
CP048238.1-75,1,1204
CP048239.1-0,0,1240
CP048239.1-1,0,1241
CP048239.1-2,4,1035
CP048239.1-3,35,129
CP048239.1-4,10,716
CP048239.1-5,37,110
CP048239.1-6,31,167
CP048239.1-7,3,1086
CP048239.1-8,16,468
CP048239.1-9,7,873
CP048239.1-10,24,269
CP048239.1-11,8,814
CP048239.1-12,7,874
CP048239.1-13,6,933
CP048239.1-14,9,772
CP048239.1-15,39,92
CP048239.1-16,13,573
CP048239.1-17,52,59
CP048239.1-18,39,93
CP048239.1-19,12,613
CP048239.1-20,28,211
CP048239.1-21,20,355
CP048239.1-22,39,94
CP048239.1-23,107,5
CP048239.1-24,85,12
CP048239.1-25,22,306
CP048239.1-26,17,444
CP048239.1-27,50,64
CP048239.1-28,33,145
CP048239.1-29,24,270
CP048239.1-30,36,121
CP048239.1-31,22,307
CP048239.1-32,8,815
CP048239.1-33,32,159
CP048239.1-34,7,875
CP048239.1-35,10,717
CP048239.1-36,8,816
CP048239.1-37,1,1205
CP048239.1-38,15,503
CP048239.1-39,14,535
CP048239.1-40,24,271
CP048239.1-41,27,232
CP048239.1-42,13,574
CP048239.1-43,4,1036
CP048239.1-44,15,504
CP048239.1-45,2,1144
CP048239.1-46,2,1145
CP048239.1-47,0,1242
CP048239.1-48,7,876
CP048239.1-49,15,505
CP048239.1-50,9,773
CP048239.1-51,10,718
CP048239.1-52,0,1243
CP048239.1-53,4,1037
CP048239.1-54,11,671
CP048239.1-55,16,469
CP048239.1-56,3,1087
CP048239.1-57,4,1038
CP048239.1-58,0,1244
CP048239.1-59,12,614
CP048239.1-60,14,536
CP048239.1-61,16,470
CP048239.1-62,11,672
CP048239.1-63,1,1206
CP048239.1-64,13,575
CP048239.1-65,23,289
CP048239.1-66,8,817
CP048239.1-67,4,1039
CP048239.1-68,12,615
CP048239.1-69,2,1146
CP048239.1-70,5,987
CP048239.1-71,7,877
CP048239.1-72,21,331
CP048239.1-73,14,537
CP048239.1-74,6,934
CP048239.1-75,10,719
CP048239.1-76,11,673
CP048239.1-77,9,774
CP048239.1-78,5,988
CP048239.1-79,2,1147
CP048239.1-80,0,1245
CP048239.1-81,3,1088
CP048239.1-82,1,1207
CP048239.1-83,5,989
CP048239.1-84,6,935
CP048239.1-85,1,1208
CP048239.1-86,15,506
CP048239.1-87,6,936
CP048239.1-88,6,937
CP048239.1-89,7,878
CP048239.1-90,5,990
CP048239.1-91,3,1089
CP048239.1-92,5,991
CP048239.1-93,6,938
CP048239.1-94,19,379
CP048239.1-95,12,616
CP048239.1-96,6,939
CP048239.1-97,1,1209
CP048239.1-98,5,992
CP048239.1-99,14,538
CP048239.1-100,16,471
CP048239.1-101,18,414
CP048239.1-102,3,1090
CP048239.1-103,4,1040
CP048239.1-104,4,1041
CP048239.1-105,5,993
CP048239.1-106,18,415
CP048239.1-107,3,1091
CP048239.1-108,3,1092
CP048239.1-109,3,1093
CP048239.1-110,7,879
CP048239.1-111,10,720
CP048239.1-112,12,617
CP048239.1-113,8,818
CP048239.1-114,8,819
CP048239.1-115,4,1042
CP048239.1-116,2,1148
CP048239.1-117,10,721
CP048239.1-118,12,618
CP048239.1-119,19,380
CP048239.1-120,5,994
CP048239.1-121,7,880
CP048239.1-122,1,1210
CP048239.1-123,0,1246
CP048239.1-124,2,1149
CP048240.1-0,0,1247
CP048240.1-1,0,1248
CP048240.1-2,15,507
CP048240.1-3,31,168
CP048240.1-4,16,472
CP048240.1-5,0,1249
CP048240.1-6,19,381
CP048240.1-7,31,169
CP048240.1-8,10,722
CP048240.1-9,15,508
CP048240.1-10,2,1150
CP048240.1-11,15,509
CP048240.1-12,8,820
CP048240.1-13,7,881
CP048240.1-14,36,122
CP048240.1-15,10,723
CP048240.1-16,13,576
CP048240.1-17,19,382
CP048240.1-18,28,212
CP048240.1-19,37,111
CP048240.1-20,12,619
CP048240.1-21,18,416
CP048240.1-22,16,473
CP048240.1-23,15,510
CP048240.1-24,54,53
CP048240.1-25,80,16
CP048240.1-26,78,22
CP048240.1-27,74,25
CP048240.1-28,54,54
CP048240.1-29,71,30
CP048240.1-30,26,246
CP048240.1-31,26,247
CP048240.1-32,31,170
CP048240.1-33,14,539
CP048240.1-34,37,112
CP048240.1-35,3,1094
CP048240.1-36,7,882
CP048240.1-37,28,213
CP048240.1-38,24,272
CP048240.1-39,24,273
CP048240.1-40,38,103
CP048240.1-41,22,308
CP048240.1-42,23,290
CP048240.1-43,8,821
CP048240.1-44,17,445
CP048240.1-45,16,474
CP048240.1-46,9,775
CP048240.1-47,12,620
CP048240.1-48,29,193
CP048240.1-49,9,776
CP048240.1-50,13,577
CP048240.1-51,16,475
CP048240.1-52,10,724
CP048240.1-53,6,940
CP048240.1-54,1,1211
CP048240.1-55,3,1095
CP048240.1-56,26,248
CP048240.1-57,21,332
CP048240.1-58,16,476
CP048240.1-59,12,621
CP048240.1-60,13,578
CP048240.1-61,25,257
CP048240.1-62,0,1250
CP048240.1-63,11,674
CP048240.1-64,3,1096
CP048240.1-65,8,822
CP048240.1-66,6,941
CP048240.1-67,7,883
CP048240.1-68,8,823
CP048240.1-69,7,884
CP048240.1-70,4,1043
CP048240.1-71,15,511
CP048240.1-72,31,171
CP048240.1-73,27,233
CP048240.1-74,20,356
CP048240.1-75,9,777
CP048240.1-76,18,417
CP048240.1-77,18,418
CP048240.1-78,5,995
CP048240.1-79,3,1097
CP048240.1-80,0,1251
CP048240.1-81,10,725
CP048240.1-82,4,1044
CP048240.1-83,2,1151
CP048240.1-84,7,885
CP048240.1-85,3,1098
CP048240.1-86,19,383
CP048240.1-87,10,726
CP048240.1-88,35,130
CP048240.1-89,13,579
CP048240.1-90,4,1045
CP048240.1-91,20,357
CP048240.1-92,6,942
CP048240.1-93,17,446
CP048240.1-94,4,1046
CP048240.1-95,9,778
CP048240.1-96,1,1212
CP048240.1-97,7,886
CP048240.1-98,9,779
CP048240.1-99,15,512
CP048240.1-100,4,1047
CP048240.1-101,1,1213
CP048240.1-102,5,996
CP048240.1-103,10,727
CP048240.1-104,19,384
CP048240.1-105,9,780
CP048240.1-106,19,385
CP048240.1-107,31,172
CP048240.1-108,2,1152
CP048240.1-109,7,887
CP048240.1-110,9,781
CP048240.1-111,22,309
CP048240.1-112,14,540
CP048240.1-113,10,728
CP048240.1-114,2,1153
CP048240.1-115,22,310
CP048240.1-116,9,782
CP048240.1-117,19,386
CP048240.1-118,13,580
CP048240.1-119,7,888
CP048240.1-120,16,477
CP048240.1-121,6,943
CP048240.1-122,5,997
CP048240.1-123,4,1048
CP048240.1-124,12,622
CP048240.1-125,8,824
CP048240.1-126,27,234
CP048240.1-127,23,291
CP048240.1-128,7,889
CP048240.1-129,21,333
CP048240.1-130,2,1154
CP048241.1-0,5,998
CP048241.1-1,1,1214
CP048241.1-2,14,541
CP048241.1-3,11,675
CP048241.1-4,26,249
CP048241.1-5,19,387
CP048241.1-6,10,729
CP048241.1-7,31,173
CP048241.1-8,1,1215
CP048241.1-9,25,258
CP048241.1-10,4,1049
CP048241.1-11,29,194
CP048241.1-12,8,825
CP048241.1-13,2,1155
CP048241.1-14,11,676
CP048241.1-15,15,513
CP048241.1-16,8,826
CP048241.1-17,3,1099
CP048241.1-18,28,214
CP048241.1-19,2,1156
CP048241.1-20,2,1157
CP048241.1-21,3,1100
CP048241.1-22,28,215
CP048241.1-23,3,1101
CP048241.1-24,5,999
CP048241.1-25,5,1000
CP048241.1-26,5,1001
CP048241.1-27,10,730
CP048241.1-28,7,890
CP048241.1-29,20,358
CP048241.1-30,3,1102
CP048241.1-31,3,1103
CP048241.1-32,6,944
CP048241.1-33,11,677
CP048241.1-34,5,1002
CP048241.1-35,28,216
CP048241.1-36,6,945
CP048241.1-37,13,581
CP048241.1-38,24,274
CP048241.1-39,6,946
CP048241.1-40,10,731
CP048241.1-41,3,1104
CP048241.1-42,11,678
CP048241.1-43,5,1003
CP048241.1-44,14,542
CP048241.1-45,18,419
CP048241.1-46,26,250
CP048241.1-47,19,388
CP048241.1-48,12,623
CP048241.1-49,23,292
CP048241.1-50,15,514
CP048241.1-51,6,947
CP048241.1-52,5,1004
CP048241.1-53,1,1216
CP048241.1-54,14,543
CP048241.1-55,12,624
CP048241.1-56,5,1005
CP048241.1-57,16,478
CP048241.1-58,18,420
CP048241.1-59,7,891
CP048241.1-60,9,783
CP048241.1-61,19,389
CP048241.1-62,17,447
CP048241.1-63,4,1050
CP048241.1-64,14,544
CP048241.1-65,12,625
CP048241.1-66,23,293
CP048241.1-67,13,582
CP048241.1-68,25,259
CP048241.1-69,16,479
CP048241.1-70,6,948
CP048241.1-71,3,1105
CP048241.1-72,8,827
CP048241.1-73,10,732
CP048241.1-74,10,733
CP048241.1-75,17,448
CP048241.1-76,14,545
CP048241.1-77,8,828
CP048241.1-78,14,546
CP048241.1-79,36,123
CP048241.1-80,2,1158
CP048241.1-81,8,829
CP048241.1-82,8,830
CP048241.1-83,16,480
CP048241.1-84,14,547
CP048241.1-85,19,390
CP048241.1-86,9,784
CP048241.1-87,7,892
CP048241.1-88,14,548
CP048241.1-89,18,421
CP048241.1-90,15,515
CP048241.1-91,43,79
CP048241.1-92,46,70
CP048241.1-93,12,626
CP048241.1-94,18,422
CP048241.1-95,10,734
CP048241.1-96,1,1217
CP048241.1-97,7,893
CP048241.1-98,29,195
CP048241.1-99,8,831
CP048241.1-100,14,549
CP048241.1-101,4,1051
CP048241.1-102,18,423
CP048241.1-103,18,424
CP048241.1-104,4,1052
CP048241.1-105,7,894
CP048241.1-106,16,481
CP048241.1-107,7,895
CP048241.1-108,13,583
CP048241.1-109,3,1106
CP048241.1-110,21,334
CP048241.1-111,4,1053
CP048241.1-112,4,1054
CP048241.1-113,4,1055
CP048241.1-114,2,1159
CP048241.1-115,14,550
CP048241.1-116,19,391
CP048241.1-117,33,146
CP048241.1-118,13,584
CP048241.1-119,22,311
