RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A02277,GWK60_A02277,ORF,CP048230.1,279298,281022,C,1725,0,0,0.0,0.0,0.0,1725,1.0,0.9999997617630899,-13.092261624843921,0,0,0,0,0.0,9999,784.8181818181819
GWK60_A02299,GWK60_A02299,ORF,CP048230.1,281204,283804,W,2601,1,1,0.00038446751249519417,0.3246828143021915,0.2705690119184929,2251,0.865436370626682,0.8654363705943358,-12.092261624843921,1,0,0,0,0.0,2601.0,844.5
GWK60_A02321,GWK60_A02321,ORF,CP048230.1,284239,285189,W,951,1,2,0.0010515247108307045,0.8372473419792031,1.5070452155625655,793,0.8338590956887487,0.8334027401089825,-11.507299124122765,0,0,0,0,0.0,951.0,796.2222222222222
GWK60_A02343,GWK60_A02343,ORF,CP048230.1,285630,286589,W,960,0,0,0.0,0.0,0.0,960,1.0,0.9994997988929205,-13.092261624843921,0,0,0,0,0.0,9999,753.7777777777778
GWK60_A02365,GWK60_A02365,ORF,CP048230.1,286832,288025,C,1194,1,2,0.0008375209380234506,0.6230225200074446,1.1214405360134003,1060,0.8877721943048577,0.8877293992632762,-11.507299124122765,0,0,0,0,0.0,1194.0,743.8888888888889
GWK60_A02387,GWK60_A02387,ORF,CP048230.1,292062,293201,W,1140,1,1,0.0008771929824561404,2.8837719298245617,2.8837719298245617,898,0.787719298245614,0.7876541402928766,-12.092261624843921,0,0,0,0,0.0,1140.0,3287.5
GWK60_A02409,GWK60_A02409,ORF,CP048230.1,293614,296232,W,2619,0,0,0.0,0.0,0.0,2619,1.0,0.9999999999687812,-13.092261624843921,0,0,0,0,0.0,9999,2315.3333333333335
GWK60_A02431,GWK60_A02431,ORF,CP048230.1,296308,296610,C,303,0,0,0.0,0.0,0.0,303,1.0,0.7369158958334202,-13.092261624843921,0,0,0,0,0.0,9999,3036.0
GWK60_A02453,GWK60_A02453,ORF,CP048230.1,296784,298550,W,1767,0,0,0.0,0.0,0.0,1767,1.0,0.9999998434671832,-13.092261624843921,0,0,0,0,0.0,9999,3187.0
GWK60_A02475,GWK60_A02475,ORF,CP048230.1,298781,301912,C,3132,0,0,0.0,0.0,0.0,3132,1.0,0.9999999999998153,-13.092261624843921,0,0,0,0,0.0,9999,3240.5
GWK60_A02497,GWK60_A02497,ORF,CP048230.1,302446,303276,C,831,0,0,0.0,0.0,0.0,831,1.0,0.9981852660075083,-13.092261624843921,0,0,0,0,0.0,9999,1653.0
GWK60_A02519,GWK60_A02519,ORF,CP048230.1,303502,305559,C,2058,1,1,0.00048590864917395527,0.76044703595724,0.76044703595724,1759,0.8547133138969873,0.8547133066086413,-12.092261624843921,0,0,0,0,0.0,2058.0,1565.0
GWK60_A02541,GWK60_A02541,ORF,CP048230.1,305706,306797,W,1092,0,0,0.0,0.0,0.0,1092,1.0,0.9998663296253665,-13.092261624843921,0,0,0,0,0.0,9999,1090.3333333333333
GWK60_A02563,GWK60_A02563,ORF,CP048230.1,306984,307238,W,255,0,0,0.0,0.0,0.0,255,1.0,0.6341355910108007,-13.092261624843921,0,0,0,0,0.0,9999,1080.0
GWK60_A02585,GWK60_A02585,ORF,CP048230.1,307549,308838,W,1290,0,0,0.0,0.0,0.0,1290,1.0,0.9999815421067044,-13.092261624843921,0,0,0,0,0.0,9999,1234.0
GWK60_A02607,GWK60_A02607,ORF,CP048230.1,309045,310370,C,1326,0,0,0.0,0.0,0.0,1326,1.0,0.9999871222929576,-13.092261624843921,0,0,0,0,0.0,9999,1272.6666666666667
