Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048239.1-69,0,1180
CP048239.1-70,2,856
CP048239.1-71,6,391
CP048239.1-72,8,272
CP048239.1-73,4,579
CP048239.1-74,2,857
CP048239.1-75,2,858
CP048239.1-76,4,580
CP048239.1-77,2,859
CP048239.1-78,4,581
CP048239.1-79,0,1181
CP048239.1-80,1,1015
CP048239.1-81,2,860
CP048239.1-82,0,1182
CP048239.1-83,0,1183
CP048239.1-84,4,582
CP048239.1-85,1,1016
CP048239.1-86,2,861
CP048239.1-87,2,862
CP048239.1-88,8,273
CP048239.1-89,3,701
CP048239.1-90,3,702
CP048239.1-91,1,1017
CP048239.1-92,2,863
CP048239.1-93,3,703
CP048239.1-94,3,704
CP048239.1-95,6,392
CP048239.1-96,3,705
CP048239.1-97,0,1184
CP048239.1-98,0,1185
CP048239.1-99,3,706
CP048239.1-100,2,864
CP048239.1-101,6,393
CP048239.1-102,4,583
CP048239.1-103,3,707
CP048239.1-104,2,865
CP048239.1-105,3,708
CP048239.1-106,0,1186
CP048239.1-107,1,1018
CP048239.1-108,1,1019
CP048239.1-109,1,1020
CP048239.1-110,4,584
CP048239.1-111,3,709
CP048239.1-112,6,394
CP048239.1-113,1,1021
CP048239.1-114,2,866
CP048239.1-115,0,1187
CP048239.1-116,1,1022
CP048239.1-117,5,483
CP048239.1-118,4,585
CP048239.1-119,6,395
CP048240.1-0,0,1188
CP048240.1-1,0,1189
CP048240.1-2,6,396
CP048240.1-3,8,274
CP048240.1-4,5,484
CP048240.1-5,0,1190
CP048240.1-6,6,397
CP048240.1-7,12,139
CP048240.1-8,6,398
CP048240.1-9,1,1023
CP048240.1-10,3,710
CP048240.1-11,4,586
CP048240.1-12,2,867
CP048240.1-13,0,1191
CP048240.1-14,12,140
CP048240.1-15,1,1024
CP048240.1-16,3,711
CP048240.1-17,4,587
CP048240.1-18,9,229
CP048240.1-19,13,120
CP048240.1-20,4,588
CP048240.1-21,4,589
CP048240.1-22,7,334
CP048240.1-23,7,335
CP048240.1-24,15,88
CP048240.1-25,29,18
CP048240.1-26,17,68
CP048240.1-27,21,42
CP048240.1-28,8,275
CP048240.1-29,21,43
CP048240.1-30,8,276
CP048240.1-31,10,192
CP048240.1-32,9,230
CP048240.1-33,2,868
CP048240.1-34,19,55
CP048240.1-35,1,1025
CP048240.1-36,3,712
CP048240.1-37,5,485
CP048240.1-38,9,231
CP048240.1-39,5,486
CP048240.1-40,8,277
CP048240.1-41,7,336
CP048240.1-42,4,590
CP048240.1-43,3,713
CP048240.1-44,2,869
CP048240.1-45,10,193
CP048240.1-46,0,1192
CP048240.1-47,6,399
CP048240.1-48,9,232
CP048240.1-49,1,1026
CP048240.1-50,5,487
CP048240.1-51,2,870
CP048240.1-52,5,488
CP048240.1-53,3,714
CP048240.1-54,0,1193
CP048240.1-55,2,871
CP048240.1-56,11,163
CP048240.1-57,5,489
CP048240.1-58,2,872
CP048240.1-59,2,873
CP048240.1-60,6,400
CP048240.1-61,8,278
CP048240.1-62,0,1194
CP048240.1-63,4,591
CP048240.1-64,0,1195
CP048240.1-65,3,715
CP048240.1-66,1,1027
CP048240.1-67,2,874
CP048240.1-68,5,490
CP048240.1-69,3,716
CP048240.1-70,2,875
CP048240.1-71,3,717
CP048240.1-72,8,279
CP048240.1-73,6,401
CP048240.1-74,3,718
CP048240.1-75,0,1196
CP048240.1-76,5,491
CP048240.1-77,7,337
CP048240.1-78,1,1028
CP048240.1-79,1,1029
CP048240.1-80,2,876
CP048240.1-81,2,877
CP048240.1-82,3,719
CP048240.1-83,0,1197
CP048240.1-84,0,1198
CP048240.1-85,3,720
CP048240.1-86,7,338
CP048240.1-87,6,402
CP048240.1-88,15,89
CP048240.1-89,4,592
CP048240.1-90,0,1199
CP048240.1-91,5,492
CP048240.1-92,2,878
CP048240.1-93,3,721
CP048240.1-94,2,879
CP048240.1-95,1,1030
CP048240.1-96,0,1200
CP048240.1-97,2,880
CP048240.1-98,1,1031
CP048240.1-99,5,493
CP048240.1-100,0,1201
CP048240.1-101,2,881
CP048240.1-102,1,1032
CP048240.1-103,2,882
CP048240.1-104,8,280
CP048240.1-105,2,883
CP048240.1-106,6,403
CP048240.1-107,7,339
CP048240.1-108,1,1033
CP048240.1-109,4,593
CP048240.1-110,2,884
CP048240.1-111,4,594
CP048240.1-112,4,595
CP048240.1-113,2,885
CP048240.1-114,0,1202
CP048240.1-115,5,494
CP048240.1-116,3,722
CP048240.1-117,9,233
CP048240.1-118,4,596
CP048240.1-119,3,723
CP048240.1-120,5,495
CP048240.1-121,1,1034
CP048240.1-122,2,886
CP048240.1-123,1,1035
CP048240.1-124,2,887
CP048240.1-125,1,1036
CP048240.1-126,12,141
CP048240.1-127,8,281
CP048240.1-128,0,1203
CP048240.1-129,6,404
CP048240.1-130,1,1037
CP048241.1-0,1,1038
CP048241.1-1,1,1039
CP048241.1-2,9,234
CP048241.1-3,5,496
CP048241.1-4,9,235
CP048241.1-5,3,724
CP048241.1-6,0,1204
CP048241.1-7,8,282
CP048241.1-8,2,888
CP048241.1-9,3,725
CP048241.1-10,2,889
CP048241.1-11,5,497
CP048241.1-12,1,1040
CP048241.1-13,1,1041
CP048241.1-14,1,1042
CP048241.1-15,4,597
CP048241.1-16,2,890
CP048241.1-17,1,1043
CP048241.1-18,17,69
CP048241.1-19,0,1205
CP048241.1-20,0,1206
CP048241.1-21,0,1207
CP048241.1-22,13,121
CP048241.1-23,0,1208
CP048241.1-24,1,1044
CP048241.1-25,0,1209
CP048241.1-26,0,1210
CP048241.1-27,4,598
CP048241.1-28,2,891
CP048241.1-29,7,340
CP048241.1-30,1,1045
CP048241.1-31,1,1046
CP048241.1-32,0,1211
CP048241.1-33,4,599
CP048241.1-34,1,1047
CP048241.1-35,8,283
CP048241.1-36,6,405
CP048241.1-37,2,892
CP048241.1-38,3,726
CP048241.1-39,4,600
CP048241.1-40,1,1048
CP048241.1-41,1,1049
CP048241.1-42,1,1050
CP048241.1-43,3,727
CP048241.1-44,3,728
