Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048236.1-28,9,225
CP048236.1-29,4,569
CP048236.1-30,0,1158
CP048236.1-31,6,378
CP048236.1-32,4,570
CP048236.1-33,2,832
CP048236.1-34,0,1159
CP048236.1-35,5,469
CP048236.1-36,6,379
CP048236.1-37,3,687
CP048236.1-38,5,470
CP048236.1-39,10,198
CP048236.1-40,1,984
CP048236.1-41,2,833
CP048236.1-42,1,985
CP048236.1-43,1,986
CP048236.1-44,3,688
CP048236.1-45,2,834
CP048236.1-46,2,835
CP048236.1-47,7,323
CP048236.1-48,1,987
CP048236.1-49,3,689
CP048236.1-50,2,836
CP048236.1-51,6,380
CP048236.1-52,2,837
CP048236.1-53,1,988
CP048236.1-54,2,838
CP048236.1-55,9,226
CP048236.1-56,4,571
CP048236.1-57,3,690
CP048236.1-58,6,381
CP048236.1-59,2,839
CP048236.1-60,2,840
CP048236.1-61,2,841
CP048236.1-62,4,572
CP048236.1-63,4,573
CP048236.1-64,5,471
CP048236.1-65,1,989
CP048236.1-66,6,382
CP048236.1-67,4,574
CP048236.1-68,3,691
CP048236.1-69,1,990
CP048236.1-70,10,199
CP048236.1-71,1,991
CP048236.1-72,1,992
CP048236.1-73,4,575
CP048236.1-74,4,576
CP048236.1-75,0,1160
CP048236.1-76,0,1161
CP048236.1-77,5,472
CP048236.1-78,4,577
CP048236.1-79,4,578
CP048236.1-80,1,993
CP048236.1-81,1,994
CP048236.1-82,5,473
CP048236.1-83,4,579
CP048236.1-84,6,383
CP048236.1-85,0,1162
CP048236.1-86,4,580
CP048236.1-87,9,227
CP048236.1-88,2,842
CP048236.1-89,0,1163
CP048236.1-90,0,1164
CP048236.1-91,3,692
CP048236.1-92,8,264
CP048236.1-93,13,118
CP048236.1-94,1,995
CP048236.1-95,2,843
CP048236.1-96,3,693
CP048236.1-97,0,1165
CP048236.1-98,8,265
CP048236.1-99,3,694
CP048236.1-100,1,996
CP048237.1-0,0,1166
CP048237.1-1,0,1167
CP048237.1-2,6,384
CP048237.1-3,7,324
CP048237.1-4,3,695
CP048237.1-5,0,1168
CP048237.1-6,1,997
CP048237.1-7,14,101
CP048237.1-8,4,581
CP048237.1-9,4,582
CP048237.1-10,1,998
CP048237.1-11,1,999
CP048237.1-12,1,1000
CP048237.1-13,5,474
CP048237.1-14,1,1001
CP048237.1-15,1,1002
CP048237.1-16,0,1169
CP048237.1-17,1,1003
CP048237.1-18,5,475
CP048237.1-19,4,583
CP048237.1-20,3,696
CP048237.1-21,5,476
CP048237.1-22,3,697
CP048237.1-23,4,584
CP048237.1-24,8,266
CP048237.1-25,3,698
CP048237.1-26,2,844
CP048237.1-27,2,845
CP048237.1-28,1,1004
CP048237.1-29,0,1170
CP048237.1-30,0,1171
CP048237.1-31,1,1005
CP048237.1-32,1,1006
CP048237.1-33,2,846
CP048237.1-34,3,699
CP048237.1-35,5,477
CP048237.1-36,3,700
CP048237.1-37,1,1007
CP048237.1-38,5,478
CP048237.1-39,8,267
CP048237.1-40,5,479
CP048237.1-41,2,847
CP048237.1-42,1,1008
CP048237.1-43,0,1172
CP048237.1-44,6,385
CP048237.1-45,0,1173
CP048237.1-46,5,480
CP048237.1-47,3,701
CP048237.1-48,1,1009
CP048237.1-49,2,848
CP048237.1-50,0,1174
CP048237.1-51,6,386
CP048237.1-52,0,1175
CP048237.1-53,3,702
CP048237.1-54,12,138
CP048237.1-55,4,585
CP048237.1-56,0,1176
CP048237.1-57,6,387
CP048237.1-58,0,1177
CP048237.1-59,1,1010
CP048237.1-60,2,849
CP048237.1-61,6,388
CP048237.1-62,2,850
CP048237.1-63,5,481
CP048237.1-64,15,81
CP048237.1-65,5,482
CP048237.1-66,2,851
CP048237.1-67,5,483
CP048237.1-68,2,852
CP048237.1-69,4,586
CP048237.1-70,0,1178
CP048237.1-71,4,587
CP048237.1-72,1,1011
CP048237.1-73,11,170
CP048237.1-74,2,853
CP048237.1-75,14,102
CP048237.1-76,0,1179
CP048237.1-77,1,1012
CP048237.1-78,3,703
CP048237.1-79,6,389
CP048237.1-80,0,1180
CP048237.1-81,4,588
CP048237.1-82,13,119
CP048237.1-83,4,589
CP048237.1-84,5,484
CP048237.1-85,13,120
CP048237.1-86,10,200
CP048237.1-87,12,139
CP048237.1-88,11,171
CP048237.1-89,7,325
CP048237.1-90,7,326
CP048237.1-91,32,16
CP048237.1-92,10,201
CP048237.1-93,9,228
CP048237.1-94,12,140
CP048237.1-95,32,17
CP048237.1-96,9,229
CP048237.1-97,54,1
CP048237.1-98,22,37
CP048237.1-99,38,6
CP048237.1-100,5,485
CP048237.1-101,3,704
CP048237.1-102,8,268
CP048237.1-103,3,705
CP048237.1-104,8,269
CP048237.1-105,1,1013
CP048238.1-0,1,1014
CP048238.1-1,0,1181
CP048238.1-2,6,390
CP048238.1-3,6,391
CP048238.1-4,13,121
CP048238.1-5,2,854
CP048238.1-6,12,141
CP048238.1-7,5,486
CP048238.1-8,6,392
CP048238.1-9,1,1015
CP048238.1-10,6,393
CP048238.1-11,3,706
CP048238.1-12,4,590
CP048238.1-13,5,487
CP048238.1-14,4,591
CP048238.1-15,10,202
CP048238.1-16,3,707
CP048238.1-17,15,82
CP048238.1-18,6,394
CP048238.1-19,11,172
CP048238.1-20,4,592
CP048238.1-21,1,1016
CP048238.1-22,1,1017
CP048238.1-23,2,855
CP048238.1-24,4,593
CP048238.1-25,6,395
CP048238.1-26,5,488
CP048238.1-27,15,83
CP048238.1-28,5,489
CP048238.1-29,13,122
CP048238.1-30,0,1182
CP048238.1-31,7,327
CP048238.1-32,8,270
CP048238.1-33,9,230
CP048238.1-34,3,708
CP048238.1-35,14,103
CP048238.1-36,9,231
CP048238.1-37,4,594
CP048238.1-38,3,709
CP048238.1-39,30,22
CP048238.1-40,21,44
CP048238.1-41,3,710
CP048238.1-42,8,271
CP048238.1-43,13,123
CP048238.1-44,28,26
CP048238.1-45,11,173
CP048238.1-46,2,856
CP048238.1-47,4,595
CP048238.1-48,6,396
CP048238.1-49,2,857
CP048238.1-50,3,711
CP048238.1-51,12,142
CP048238.1-52,5,490
CP048238.1-53,8,272
CP048238.1-54,15,84
CP048238.1-55,12,143
CP048238.1-56,5,491
CP048238.1-57,6,397
CP048238.1-58,0,1183
CP048238.1-59,1,1018
CP048238.1-60,5,492
CP048238.1-61,0,1184
CP048238.1-62,1,1019
CP048238.1-63,0,1185
CP048238.1-64,0,1186
CP048238.1-65,0,1187
CP048238.1-66,3,712
CP048238.1-67,2,858
CP048238.1-68,8,273
CP048238.1-69,1,1020
CP048238.1-70,10,203
CP048238.1-71,9,232
CP048238.1-72,5,493
CP048238.1-73,7,328
CP048239.1-0,0,1188
CP048239.1-1,0,1189
CP048239.1-2,4,596
CP048239.1-3,8,274
CP048239.1-4,4,597
CP048239.1-5,10,204
CP048239.1-6,8,275
CP048239.1-7,1,1021
CP048239.1-8,5,494
CP048239.1-9,0,1190
CP048239.1-10,16,72
CP048239.1-11,1,1022
CP048239.1-12,3,713
CP048239.1-13,2,859
CP048239.1-14,4,598
CP048239.1-15,18,62
CP048239.1-16,8,276
CP048239.1-17,17,66
CP048239.1-18,19,56
CP048239.1-19,4,599
CP048239.1-20,7,329
CP048239.1-21,1,1023
CP048239.1-22,16,73
CP048239.1-23,36,8
CP048239.1-24,32,18
CP048239.1-25,9,233
CP048239.1-26,7,330
CP048239.1-27,19,57
CP048239.1-28,7,331
CP048239.1-29,8,277
