Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048236.1-41,20,1075
CP048236.1-42,57,573
CP048236.1-43,30,933
CP048236.1-44,60,542
CP048236.1-45,14,1145
CP048236.1-46,32,904
CP048236.1-47,127,154
CP048236.1-48,23,1029
CP048236.1-49,27,972
CP048236.1-50,34,878
CP048236.1-51,107,217
CP048236.1-52,35,863
CP048236.1-53,59,556
CP048236.1-54,37,832
CP048236.1-55,72,439
CP048236.1-56,46,714
CP048236.1-57,99,256
CP048236.1-58,53,626
CP048236.1-59,62,518
CP048236.1-60,64,498
CP048236.1-61,9,1184
CP048236.1-62,36,846
CP048236.1-63,86,336
CP048236.1-64,93,290
CP048236.1-65,26,990
CP048236.1-66,57,574
CP048236.1-67,39,805
CP048236.1-68,22,1043
CP048236.1-69,28,956
CP048236.1-70,115,189
CP048236.1-71,38,819
CP048236.1-72,25,1005
CP048236.1-73,70,456
CP048236.1-74,47,701
CP048236.1-75,15,1131
CP048236.1-76,15,1132
CP048236.1-77,67,479
CP048236.1-78,36,847
CP048236.1-79,39,806
CP048236.1-80,7,1201
CP048236.1-81,29,948
CP048236.1-82,71,448
CP048236.1-83,46,715
CP048236.1-84,64,499
CP048236.1-85,3,1223
CP048236.1-86,57,575
CP048236.1-87,81,366
CP048236.1-88,41,784
CP048236.1-89,60,543
CP048236.1-90,28,957
CP048236.1-91,53,627
CP048236.1-92,76,410
CP048236.1-93,101,245
CP048236.1-94,42,771
CP048236.1-95,20,1076
CP048236.1-96,75,413
CP048236.1-97,9,1185
CP048236.1-98,89,319
CP048236.1-99,12,1160
CP048236.1-100,7,1202
CP048237.1-0,1,1243
CP048237.1-1,0,1257
CP048237.1-2,54,613
CP048237.1-3,70,457
CP048237.1-4,72,440
CP048237.1-5,39,807
CP048237.1-6,16,1124
CP048237.1-7,107,218
CP048237.1-8,56,589
CP048237.1-9,25,1006
CP048237.1-10,27,973
CP048237.1-11,38,820
CP048237.1-12,29,949
CP048237.1-13,42,772
CP048237.1-14,44,741
CP048237.1-15,15,1133
CP048237.1-16,19,1086
CP048237.1-17,32,905
CP048237.1-18,54,614
CP048237.1-19,63,508
CP048237.1-20,39,808
CP048237.1-21,38,821
CP048237.1-22,48,685
CP048237.1-23,39,809
CP048237.1-24,90,312
CP048237.1-25,44,742
CP048237.1-26,14,1146
CP048237.1-27,17,1113
CP048237.1-28,49,671
CP048237.1-29,21,1059
CP048237.1-30,9,1186
CP048237.1-31,19,1087
CP048237.1-32,66,487
CP048237.1-33,30,934
CP048237.1-34,66,488
CP048237.1-35,53,628
CP048237.1-36,43,756
CP048237.1-37,21,1060
CP048237.1-38,101,246
CP048237.1-39,87,331
CP048237.1-40,103,236
CP048237.1-41,16,1125
CP048237.1-42,30,935
CP048237.1-43,34,879
CP048237.1-44,53,629
CP048237.1-45,12,1161
CP048237.1-46,53,630
CP048237.1-47,36,848
CP048237.1-48,86,337
CP048237.1-49,42,773
CP048237.1-50,3,1224
CP048237.1-51,104,231
CP048237.1-52,31,918
CP048237.1-53,44,743
CP048237.1-54,100,252
CP048237.1-55,53,631
CP048237.1-56,10,1178
CP048237.1-57,75,414
CP048237.1-58,26,991
CP048237.1-59,5,1215
CP048237.1-60,74,424
CP048237.1-61,85,346
CP048237.1-62,32,906
CP048237.1-63,45,729
CP048237.1-64,96,276
CP048237.1-65,57,576
CP048237.1-66,48,686
CP048237.1-67,54,615
CP048237.1-68,53,632
CP048237.1-69,44,744
CP048237.1-70,40,798
CP048237.1-71,36,849
CP048237.1-72,17,1114
CP048237.1-73,153,101
CP048237.1-74,67,480
CP048237.1-75,81,367
CP048237.1-76,30,936
CP048237.1-77,20,1077
CP048237.1-78,57,577
CP048237.1-79,53,633
CP048237.1-80,42,774
CP048237.1-81,114,193
CP048237.1-82,137,130
CP048237.1-83,103,237
CP048237.1-84,41,785
CP048237.1-85,139,125
CP048237.1-86,162,84
CP048237.1-87,130,146
CP048237.1-88,98,268
CP048237.1-89,54,616
CP048237.1-90,112,199
CP048237.1-91,249,30
CP048237.1-92,135,134
CP048237.1-93,75,415
CP048237.1-94,79,385
CP048237.1-95,280,20
CP048237.1-96,103,238
CP048237.1-97,460,1
CP048237.1-98,218,42
CP048237.1-99,405,3
CP048237.1-100,99,257
CP048237.1-101,80,378
CP048237.1-102,78,394
CP048237.1-103,63,509
CP048237.1-104,90,313
CP048237.1-105,43,757
CP048238.1-0,11,1172
CP048238.1-1,0,1258
CP048238.1-2,60,544
CP048238.1-3,41,786
CP048238.1-4,118,178
CP048238.1-5,60,545
CP048238.1-6,126,158
CP048238.1-7,85,347
CP048238.1-8,82,361
CP048238.1-9,27,974
CP048238.1-10,54,617
CP048238.1-11,74,425
CP048238.1-12,79,386
CP048238.1-13,61,531
CP048238.1-14,41,787
CP048238.1-15,132,144
CP048238.1-16,72,441
CP048238.1-17,138,127
CP048238.1-18,104,232
CP048238.1-19,91,302
CP048238.1-20,55,600
CP048238.1-21,29,950
CP048238.1-22,47,702
CP048238.1-23,22,1044
CP048238.1-24,34,880
CP048238.1-25,61,532
CP048238.1-26,61,533
