feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00385,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00407,yH298-H2O2-treated-facs-pool1,treated,yH298,1,6,1828,3282.2757111597375
GWK60_A00407,yH298-H2O2-treated-facs-pool2,treated,yH298,2,14,2101,6663.49357448834
GWK60_A00407,yH298-parent-pool1,parent,yH298,1,8,2000,4000
GWK60_A00407,yH298-parent-pool2,parent,yH298,2,8,2013,3974.167908594138
GWK60_A00407,yH299-H2O2-treated-facs-pool3,treated,yH299,3,2,2012,994.0357852882703
GWK60_A00407,yH299-H2O2-treated-facs-pool4,treated,yH299,4,8,2244,3565.0623885918003
GWK60_A00407,yH299-parent-pool3,parent,yH299,3,3,2117,1417.0996693434106
GWK60_A00407,yH299-parent-pool4,parent,yH299,4,10,1572,6361.323155216284
GWK60_A00429,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00429,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00429,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00429,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00429,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00429,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00429,yH299-parent-pool3,parent,yH299,3,2,2117,944.7331128956071
GWK60_A00429,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00451,yH298-H2O2-treated-facs-pool1,treated,yH298,1,17,1828,9299.781181619255
GWK60_A00451,yH298-H2O2-treated-facs-pool2,treated,yH298,2,18,2101,8567.348881485008
GWK60_A00451,yH298-parent-pool1,parent,yH298,1,27,2000,13500
GWK60_A00451,yH298-parent-pool2,parent,yH298,2,26,2013,12916.04570293095
GWK60_A00451,yH299-H2O2-treated-facs-pool3,treated,yH299,3,18,2012,8946.322067594434
GWK60_A00451,yH299-H2O2-treated-facs-pool4,treated,yH299,4,22,2244,9803.921568627451
