Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048238.1-73,23,691
CP048238.1-74,0,1252
CP048238.1-75,2,1222
CP048239.1-0,3,1208
CP048239.1-1,0,1253
CP048239.1-2,14,949
CP048239.1-3,65,159
CP048239.1-4,30,520
CP048239.1-5,56,208
CP048239.1-6,64,165
CP048239.1-7,13,977
CP048239.1-8,35,438
CP048239.1-9,8,1104
CP048239.1-10,55,214
CP048239.1-11,16,902
CP048239.1-12,16,903
CP048239.1-13,15,926
CP048239.1-14,26,610
CP048239.1-15,55,215
CP048239.1-16,25,637
CP048239.1-17,130,35
CP048239.1-18,83,94
CP048239.1-19,25,638
CP048239.1-20,52,242
CP048239.1-21,31,504
CP048239.1-22,89,71
CP048239.1-23,198,6
CP048239.1-24,131,34
CP048239.1-25,51,255
CP048239.1-26,31,505
CP048239.1-27,96,56
CP048239.1-28,68,143
CP048239.1-29,59,194
CP048239.1-30,70,135
CP048239.1-31,62,177
CP048239.1-32,23,692
CP048239.1-33,45,309
CP048239.1-34,22,729
CP048239.1-35,31,506
CP048239.1-36,25,639
CP048239.1-37,5,1165
CP048239.1-38,29,539
CP048239.1-39,29,540
CP048239.1-40,45,310
CP048239.1-41,54,225
CP048239.1-42,45,311
CP048239.1-43,18,840
CP048239.1-44,37,413
CP048239.1-45,8,1105
CP048239.1-46,11,1033
CP048239.1-47,8,1106
CP048239.1-48,28,565
CP048239.1-49,18,841
CP048239.1-50,11,1034
CP048239.1-51,13,978
CP048239.1-52,0,1254
CP048239.1-53,5,1166
CP048239.1-54,9,1075
CP048239.1-55,17,871
CP048239.1-56,7,1127
CP048239.1-57,4,1179
CP048239.1-58,1,1234
CP048239.1-59,28,566
CP048239.1-60,40,375
CP048239.1-61,40,376
CP048239.1-62,26,611
CP048239.1-63,7,1128
CP048239.1-64,22,730
CP048239.1-65,48,284
CP048239.1-66,17,872
CP048239.1-67,22,731
CP048239.1-68,23,693
CP048239.1-69,12,1007
CP048239.1-70,14,950
CP048239.1-71,32,490
CP048239.1-72,56,209
CP048239.1-73,35,439
CP048239.1-74,15,927
CP048239.1-75,17,873
CP048239.1-76,26,612
CP048239.1-77,17,874
CP048239.1-78,9,1076
CP048239.1-79,14,951
CP048239.1-80,9,1077
CP048239.1-81,10,1052
CP048239.1-82,8,1107
CP048239.1-83,13,979
CP048239.1-84,22,732
CP048239.1-85,3,1209
CP048239.1-86,44,324
CP048239.1-87,35,440
CP048239.1-88,32,491
CP048239.1-89,11,1035
CP048239.1-90,15,928
CP048239.1-91,13,980
CP048239.1-92,9,1078
CP048239.1-93,10,1053
CP048239.1-94,24,667
CP048239.1-95,42,348
CP048239.1-96,20,782
CP048239.1-97,4,1180
CP048239.1-98,8,1108
CP048239.1-99,28,567
CP048239.1-100,22,733
CP048239.1-101,24,668
CP048239.1-102,22,734
CP048239.1-103,18,842
CP048239.1-104,18,843
CP048239.1-105,14,952
CP048239.1-106,25,640
CP048239.1-107,4,1181
CP048239.1-108,12,1008
CP048239.1-109,7,1129
CP048239.1-110,9,1079
CP048239.1-111,14,953
CP048239.1-112,27,588
CP048239.1-113,20,783
CP048239.1-114,17,875
CP048239.1-115,15,929
CP048239.1-116,23,694
CP048239.1-117,35,441
CP048239.1-118,28,568
CP048239.1-119,37,414
CP048239.1-120,11,1036
CP048239.1-121,10,1054
CP048239.1-122,0,1255
CP048239.1-123,0,1256
CP048239.1-124,2,1223
CP048240.1-0,3,1210
CP048240.1-1,0,1257
CP048240.1-2,37,415
CP048240.1-3,71,132
CP048240.1-4,33,472
CP048240.1-5,6,1146
CP048240.1-6,35,442
CP048240.1-7,61,184
CP048240.1-8,18,844
CP048240.1-9,25,641
CP048240.1-10,10,1055
CP048240.1-11,27,589
CP048240.1-12,16,904
CP048240.1-13,14,954
CP048240.1-14,68,144
CP048240.1-15,28,569
CP048240.1-16,35,443
CP048240.1-17,45,312
CP048240.1-18,63,170
CP048240.1-19,75,118
CP048240.1-20,29,541
CP048240.1-21,35,444
CP048240.1-22,42,349
CP048240.1-23,39,391
CP048240.1-24,92,63
CP048240.1-25,164,14
CP048240.1-26,156,20
CP048240.1-27,148,23
CP048240.1-28,116,43
CP048240.1-29,144,27
CP048240.1-30,45,313
CP048240.1-31,50,264
CP048240.1-32,56,210
CP048240.1-33,35,445
CP048240.1-34,70,136
CP048240.1-35,11,1037
CP048240.1-36,21,758
CP048240.1-37,47,293
CP048240.1-38,42,350
CP048240.1-39,53,232
CP048240.1-40,89,72
CP048240.1-41,49,272
CP048240.1-42,32,492
CP048240.1-43,32,493
CP048240.1-44,16,905
CP048240.1-45,51,256
CP048240.1-46,25,642
CP048240.1-47,23,695
CP048240.1-48,25,643
CP048240.1-49,12,1009
CP048240.1-50,33,473
CP048240.1-51,23,696
CP048240.1-52,16,906
CP048240.1-53,20,784
CP048240.1-54,8,1109
CP048240.1-55,10,1056
CP048240.1-56,49,273
CP048240.1-57,48,285
CP048240.1-58,31,507
CP048240.1-59,21,759
CP048240.1-60,29,542
CP048240.1-61,47,294
CP048240.1-62,12,1010
CP048240.1-63,16,907
CP048240.1-64,2,1224
CP048240.1-65,28,570
CP048240.1-66,7,1130
CP048240.1-67,21,760
CP048240.1-68,19,811
CP048240.1-69,16,908
CP048240.1-70,5,1167
CP048240.1-71,31,508
CP048240.1-72,66,155
CP048240.1-73,44,325
CP048240.1-74,48,286
CP048240.1-75,13,981
CP048240.1-76,32,494
CP048240.1-77,48,287
CP048240.1-78,15,930
CP048240.1-79,4,1182
CP048240.1-80,12,1011
CP048240.1-81,26,613
CP048240.1-82,21,761
CP048240.1-83,5,1168
CP048240.1-84,24,669
CP048240.1-85,21,762
CP048240.1-86,18,845
CP048240.1-87,32,495
CP048240.1-88,67,151
CP048240.1-89,25,644
CP048240.1-90,12,1012
CP048240.1-91,27,590
CP048240.1-92,4,1183
CP048240.1-93,26,614
CP048240.1-94,4,1184
CP048240.1-95,20,785
CP048240.1-96,1,1235
CP048240.1-97,18,846
CP048240.1-98,21,763
CP048240.1-99,29,543
CP048240.1-100,18,847
CP048240.1-101,2,1225
CP048240.1-102,8,1110
CP048240.1-103,22,735
CP048240.1-104,31,509
CP048240.1-105,13,982
CP048240.1-106,63,171
CP048240.1-107,43,335
CP048240.1-108,4,1185
CP048240.1-109,9,1080
CP048240.1-110,15,931
CP048240.1-111,28,571
CP048240.1-112,27,591
CP048240.1-113,19,812
CP048240.1-114,3,1211
CP048240.1-115,45,314
CP048240.1-116,11,1038
CP048240.1-117,27,592
CP048240.1-118,35,446
