feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00649,yH299-parent-pool4,parent,H299,4,17448,4223882,4130.797214505518
GWK60_A00671,yH298-H2O2-treated-facs-pool1,treated,H298,1,16209,4654293,3482.5912335128023
GWK60_A00671,yH298-H2O2-treated-facs-pool2,treated,H298,2,21857,4754213,4597.3960358949
GWK60_A00671,yH298-parent-pool1,parent,H298,1,23081,5503956,4193.5291633872075
GWK60_A00671,yH298-parent-pool2,parent,H298,2,23230,8119668,2860.9544134070507
GWK60_A00671,yH299-H2O2-treated-facs-pool3,treated,H299,3,26834,5043889,5320.101215550144
GWK60_A00671,yH299-H2O2-treated-facs-pool4,treated,H299,4,21408,5747369,3724.8347896228693
GWK60_A00671,yH299-parent-pool3,parent,H299,3,20693,6388828,3238.935216286931
GWK60_A00671,yH299-parent-pool4,parent,H299,4,24262,4223882,5744.0051592350355
GWK60_A00693,yH298-H2O2-treated-facs-pool1,treated,H298,1,33,4654293,7.090228311797302
GWK60_A00693,yH298-H2O2-treated-facs-pool2,treated,H298,2,12,4754213,2.5240770659623366
GWK60_A00693,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00693,yH298-parent-pool2,parent,H298,2,79,8119668,9.729461844991691
GWK60_A00693,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00693,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00693,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00693,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00715,yH298-H2O2-treated-facs-pool1,treated,H298,1,2217,4654293,476.334429310746
GWK60_A00715,yH298-H2O2-treated-facs-pool2,treated,H298,2,4142,4754213,871.227267268
GWK60_A00715,yH298-parent-pool1,parent,H298,1,113,5503956,20.530687381948546
GWK60_A00715,yH298-parent-pool2,parent,H298,2,1279,8119668,157.51875569296675
GWK60_A00715,yH299-H2O2-treated-facs-pool3,treated,H299,3,2734,5043889,542.0420631778376
GWK60_A00715,yH299-H2O2-treated-facs-pool4,treated,H299,4,451,5747369,78.47068806613947
GWK60_A00715,yH299-parent-pool3,parent,H299,3,1,6388828,0.1565232308648785
GWK60_A00715,yH299-parent-pool4,parent,H299,4,1728,4223882,409.1023376126511
GWK60_A00737,yH298-H2O2-treated-facs-pool1,treated,H298,1,0,4654293,0
GWK60_A00737,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00737,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00737,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00737,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00737,yH299-H2O2-treated-facs-pool4,treated,H299,4,3,5747369,0.5219779693978236
GWK60_A00737,yH299-parent-pool3,parent,H299,3,0,6388828,0
GWK60_A00737,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00759,yH298-H2O2-treated-facs-pool1,treated,H298,1,552,4654293,118.60018267006397
GWK60_A00759,yH298-H2O2-treated-facs-pool2,treated,H298,2,103,4754213,21.664994816176726
GWK60_A00759,yH298-parent-pool1,parent,H298,1,1637,5503956,297.422435789821
GWK60_A00759,yH298-parent-pool2,parent,H298,2,2213,8119668,272.54808940464073
GWK60_A00759,yH299-H2O2-treated-facs-pool3,treated,H299,3,662,5043889,131.24793190333887
GWK60_A00759,yH299-H2O2-treated-facs-pool4,treated,H299,4,1154,5747369,200.78752556169616
GWK60_A00759,yH299-parent-pool3,parent,H299,3,1667,6388828,260.92422585175245
GWK60_A00759,yH299-parent-pool4,parent,H299,4,1463,4223882,346.3638425505258
GWK60_A00781,yH298-H2O2-treated-facs-pool1,treated,H298,1,541,4654293,116.23677323279819
GWK60_A00781,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00781,yH298-parent-pool1,parent,H298,1,302,5503956,54.869624684499655
GWK60_A00781,yH298-parent-pool2,parent,H298,2,1831,8119668,225.5018308630353
GWK60_A00781,yH299-H2O2-treated-facs-pool3,treated,H299,3,89,5043889,17.6451147120803
GWK60_A00781,yH299-H2O2-treated-facs-pool4,treated,H299,4,1130,5747369,196.61170180651357
GWK60_A00781,yH299-parent-pool3,parent,H299,3,495,6388828,77.47899927811487
GWK60_A00781,yH299-parent-pool4,parent,H299,4,70,4223882,16.572432657919894
GWK60_A00803,yH298-H2O2-treated-facs-pool1,treated,H298,1,742,4654293,159.4227093137454
GWK60_A00803,yH298-H2O2-treated-facs-pool2,treated,H298,2,1,4754213,0.21033975549686143
GWK60_A00803,yH298-parent-pool1,parent,H298,1,1694,5503956,307.7786232302729
GWK60_A00803,yH298-parent-pool2,parent,H298,2,900,8119668,110.8419703859813
GWK60_A00803,yH299-H2O2-treated-facs-pool3,treated,H299,3,690,5043889,136.79920394758886
GWK60_A00803,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00803,yH299-parent-pool3,parent,H299,3,1594,6388828,249.49802999861635
GWK60_A00803,yH299-parent-pool4,parent,H299,4,1371,4223882,324.5829310572596
GWK60_A00825,yH298-H2O2-treated-facs-pool1,treated,H298,1,163,4654293,35.02143075221091
GWK60_A00825,yH298-H2O2-treated-facs-pool2,treated,H298,2,712,4754213,149.76190591376533
GWK60_A00825,yH298-parent-pool1,parent,H298,1,0,5503956,0
GWK60_A00825,yH298-parent-pool2,parent,H298,2,0,8119668,0
GWK60_A00825,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
GWK60_A00825,yH299-H2O2-treated-facs-pool4,treated,H299,4,0,5747369,0
GWK60_A00825,yH299-parent-pool3,parent,H299,3,1,6388828,0.1565232308648785
GWK60_A00825,yH299-parent-pool4,parent,H299,4,0,4223882,0
GWK60_A00847,yH298-H2O2-treated-facs-pool1,treated,H298,1,1875,4654293,402.85388135211946
GWK60_A00847,yH298-H2O2-treated-facs-pool2,treated,H298,2,284,4754213,59.73649056110864
GWK60_A00847,yH298-parent-pool1,parent,H298,1,7177,5503956,1303.9711800021657
GWK60_A00847,yH298-parent-pool2,parent,H298,2,6047,8119668,744.7348832489209
GWK60_A00847,yH299-H2O2-treated-facs-pool3,treated,H299,3,1176,5043889,233.15342585849925
GWK60_A00847,yH299-H2O2-treated-facs-pool4,treated,H299,4,1884,5747369,327.80216478183326
GWK60_A00847,yH299-parent-pool3,parent,H299,3,382,6388828,59.79187419038359
GWK60_A00847,yH299-parent-pool4,parent,H299,4,3563,4223882,843.5368222881227
GWK60_A00869,yH298-H2O2-treated-facs-pool1,treated,H298,1,77,4654293,16.54386606086037
GWK60_A00869,yH298-H2O2-treated-facs-pool2,treated,H298,2,0,4754213,0
GWK60_A00869,yH298-parent-pool1,parent,H298,1,354,5503956,64.3173746301751
GWK60_A00869,yH298-parent-pool2,parent,H298,2,97,8119668,11.946301252711319
GWK60_A00869,yH299-H2O2-treated-facs-pool3,treated,H299,3,0,5043889,0
