Bin index,combined_parent_hits.T102400,combined_parent_hits.T102400 rank
CP048241.1-14,49,921
CP048241.1-15,73,680
CP048241.1-16,46,947
CP048241.1-17,31,1104
CP048241.1-18,160,199
CP048241.1-19,16,1192
CP048241.1-20,13,1207
CP048241.1-21,29,1119
CP048241.1-22,196,123
CP048241.1-23,23,1159
CP048241.1-24,43,985
CP048241.1-25,40,1023
CP048241.1-26,24,1153
CP048241.1-27,61,802
CP048241.1-28,40,1024
CP048241.1-29,60,811
CP048241.1-30,33,1082
CP048241.1-31,13,1208
CP048241.1-32,33,1083
CP048241.1-33,63,785
CP048241.1-34,45,961
CP048241.1-35,161,194
CP048241.1-36,71,704
CP048241.1-37,84,585
CP048241.1-38,113,395
CP048241.1-39,59,821
CP048241.1-40,78,636
CP048241.1-41,23,1160
CP048241.1-42,69,720
CP048241.1-43,52,890
CP048241.1-44,83,595
CP048241.1-45,98,475
CP048241.1-46,139,270
CP048241.1-47,143,247
CP048241.1-48,81,611
CP048241.1-49,118,364
CP048241.1-50,113,396
CP048241.1-51,77,641
CP048241.1-52,35,1064
CP048241.1-53,21,1169
CP048241.1-54,89,544
CP048241.1-55,72,692
CP048241.1-56,52,891
CP048241.1-57,112,403
CP048241.1-58,82,603
CP048241.1-59,53,880
CP048241.1-60,50,903
CP048241.1-61,118,365
CP048241.1-62,58,828
CP048241.1-63,47,934
CP048241.1-64,84,586
CP048241.1-65,82,604
CP048241.1-66,115,383
CP048241.1-67,94,506
CP048241.1-68,140,262
CP048241.1-69,127,324
CP048241.1-70,45,962
CP048241.1-71,38,1041
CP048241.1-72,55,857
CP048241.1-73,61,803
CP048241.1-74,94,507
CP048241.1-75,95,502
CP048241.1-76,84,587
CP048241.1-77,45,963
CP048241.1-78,125,332
CP048241.1-79,183,140
CP048241.1-80,16,1193
CP048241.1-81,56,850
CP048241.1-82,40,1025
CP048241.1-83,94,508
CP048241.1-84,95,503
CP048241.1-85,131,312
CP048241.1-86,88,555
CP048241.1-87,51,896
CP048241.1-88,88,556
CP048241.1-89,125,333
CP048241.1-90,75,656
CP048241.1-91,181,144
CP048241.1-92,204,109
CP048241.1-93,120,353
CP048241.1-94,135,285
CP048241.1-95,93,519
CP048241.1-96,17,1188
CP048241.1-97,43,986
CP048241.1-98,215,95
CP048241.1-99,59,822
CP048241.1-100,76,646
CP048241.1-101,39,1034
CP048241.1-102,103,448
CP048241.1-103,134,291
CP048241.1-104,42,999
CP048241.1-105,55,858
CP048241.1-106,81,612
CP048241.1-107,44,974
CP048241.1-108,92,524
CP048241.1-109,46,948
CP048241.1-110,114,389
CP048241.1-111,49,922
CP048241.1-112,35,1065
CP048241.1-113,26,1140
CP048241.1-114,39,1035
CP048241.1-115,140,263
